Equivalent OH-,pH
0.005763689,0.291666667
0.014409222,0.520833333
0.028818444,0.75
0.103746398,1.270833333
0.178674352,1.5
0.282420749,1.75
0.432276657,2.0625
0.55907781,2.229166667
0.685878963,2.5
0.795389049,2.770833333
0.873198847,3.020833333
0.922190202,3.25
0.95389049,3.520833333
0.968299712,3.791666667
0.976945245,4.020833333
0.985590778,4.270833333
0.997118156,4.75
1.002881844,5.25
1.008645533,5.520833333
1.025936599,5.75
1.054755043,6.020833333
1.097982709,6.270833333
1.161383285,6.541666667
1.253602305,6.75
1.380403458,7.020833333
1.492795389,7.1875
1.659942363,7.479166667
1.775216138,7.770833333
1.858789625,8.020833333
1.919308357,8.291666667
1.948126801,8.5
1.971181556,8.770833333
1.979827089,9.0625
1.988472622,9.25
1.994236311,9.541666667
2,9.958333333
2.002881844,10.3125
2.008645533,10.54166667
2.020172911,10.8125
2.037463977,11.02083333
2.057636888,11.29166667
2.106628242,11.54166667
2.175792507,11.8125
2.276657061,12.04166667
2.414985591,12.29166667
2.463976945,12.375
2.550432277,12.5625
2.688760807,12.75
2.795389049,13.02083333
2.870317003,13.29166667
2.925072046,13.5625
2.974063401,13.89583333
